ID,WC,WPS,Qmarks,Unique,Dic,Sixltr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Class
335,24,24,0,95.83,62.5,37.5,33.33,8.33,0,0,0,0,0,0,8.33,4.17,8.33,8.33,0,0,4.17,0,8.33,0,4.17,0,4.17,0,12.5,0,0,0,4.17,0,4.17,0,4.17,0,12.5,0,0,4.17,4.17,0,0,0,4.17,0,0,0,0,4.17,0,4.17,0,0,8.33,4.17,0,8.33,0,0,0,0,0,4.17,0,0,0,4.17,1
336,57,28.5,0,61.4,47.37,10.53,28.07,8.77,3.51,0,0,3.51,0,0,5.26,1.75,10.53,7.02,0,7.02,3.51,1.75,7.02,1.75,0,1.75,12.28,0,8.77,0,0,0,3.51,1.75,1.75,1.75,0,0,14.04,1.75,3.51,5.26,7.02,0,0,0,1.75,0,0,0,0,0,0,0,0,0,5.26,3.51,1.75,0,0,1.75,0,0,0,3.51,1.75,0,0,0,1
337,28,28,0,78.57,67.86,25,46.43,10.71,0,0,0,0,0,0,10.71,10.71,10.71,10.71,0,10.71,0,0,10.71,0,3.57,0,3.57,0,0,0,0,0,0,0,0,0,0,0,10.71,3.57,0,0,0,0,3.57,0,3.57,0,0,0,0,0,0,0,0,0,10.71,0,7.14,0,3.57,0,0,0,0,0,3.57,0,0,0,0
338,58,58,0,79.31,55.17,25.86,29.31,3.45,0,0,0,0,0,0,3.45,8.62,3.45,3.45,1.72,1.72,0,1.72,3.45,1.72,1.72,3.45,10.34,0,6.9,0,0,0,5.17,1.72,3.45,1.72,1.72,0,10.34,1.72,3.45,0,1.72,0,0,1.72,1.72,1.72,0,0,0,1.72,1.72,0,0,0,10.34,3.45,6.9,0,1.72,1.72,0,0,1.72,0,1.72,0,0,0,1
339,50,25,0,56,38,6,30,12,10,0,10,0,0,0,2,0,6,4,4,2,0,2,8,0,0,4,16,0,12,0,0,0,0,0,0,0,0,0,10,2,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,6,0,4,2,0,0,0,2,0,0,0,0,0,0,0
340,24,24,0,95.83,62.5,16.67,29.17,8.33,4.17,0,0,0,0,4.17,4.17,0,16.67,8.33,0,12.5,0,4.17,4.17,4.17,0,0,0,0,4.17,0,0,0,4.17,4.17,0,0,0,0,16.67,0,4.17,8.33,4.17,0,0,4.17,0,0,0,0,0,0,0,0,0,0,4.17,0,4.17,4.17,4.17,4.17,8.33,0,0,0,4.17,0,0,4.17,0
341,16,16,0,100,56.25,25,31.25,0,0,0,0,0,0,0,0,6.25,6.25,0,6.25,0,0,0,6.25,12.5,0,6.25,0,0,12.5,0,0,6.25,6.25,6.25,0,0,0,0,18.75,0,0,0,6.25,0,0,6.25,6.25,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,0,0,6.25,0,0,0,6.25,0,0,0,0
342,32,32,0,96.88,62.5,15.62,37.5,18.75,12.5,0,0,0,12.5,0,6.25,3.12,6.25,3.12,6.25,0,0,3.12,6.25,3.12,0,0,6.25,0,28.12,0,0,3.12,6.25,0,6.25,0,0,3.12,3.12,0,0,3.12,3.12,0,0,0,3.12,0,0,0,0,0,0,0,0,0,3.12,0,0,3.12,0,0,0,0,0,0,3.12,0,0,0,1
343,35,35,0,74.29,45.71,14.29,14.29,2.86,2.86,0,0,0,0,2.86,0,2.86,8.57,2.86,2.86,5.71,0,0,5.71,0,0,0,17.14,0,5.71,0,0,2.86,2.86,0,2.86,0,0,2.86,8.57,2.86,2.86,0,0,0,2.86,0,0,2.86,0,0,2.86,2.86,0,0,0,2.86,0,0,0,0,5.71,5.71,0,2.86,2.86,0,0,0,0,0,0
344,50,25,0,56,38,6,30,12,10,0,10,0,0,0,2,0,6,4,4,2,0,2,8,0,0,4,16,0,12,0,0,0,0,0,0,0,0,0,10,2,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,6,0,4,2,0,0,0,2,0,0,0,0,0,0,0
